"Site Crawled","https://offlimits.co.in/"
"Start Date","2026-08-18"
"Start Time","14:38:24"
"Last Modified Date","2026-08-18"
"Last Modified Time","14:39:22"
"Elapsed","00:00:56"
"Report Date","2026-08-18"
"Report Time","14:39:24"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","704","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","35","100.00%","35","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","35","Internal HTML pages with 2xx response"
"Missing","0","0.00%","35","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","35","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","35","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","35","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","35","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","35","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","35","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","35","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","35","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","35","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","771","100.00%","771","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","771","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","771","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","771","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","771","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","771","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","771","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","771","Internal HTML/XML pages"
""
"PageSpeed"
"All","35","100.00%","35","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","35","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","35","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","35","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","35","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","35","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","35","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","35","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","35","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","35","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","35","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","35","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","35","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","35","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","35","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","35","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","35","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","35","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","35","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","35","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","35","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","35","100.00%","35",""
"Viewport Not Set","0","0.00%","35",""
"Target Size","0","0.00%","35",""
"Content Not Sized Correctly","0","0.00%","35",""
"Illegible Font Size","0","0.00%","35",""
"Contains Unsupported Plugins","0","0.00%","35",""
"Mobile Alternate Link","0","0.00%","35",""
""
"Accessibility"
"All","35","100.00%","35",""
"Accessibility Score Poor","0","0.00%","35",""
"Accessibility Score Needs Improvement","0","0.00%","35",""
"Accessibility Score Good","0","0.00%","35",""
"WCAG 2.0 A Violation","0","0.00%","35",""
"WCAG 2.0 AA Violation","0","0.00%","35",""
"WCAG 2.0 AAA Violation","0","0.00%","35",""
"WCAG 2.1 AA Violation","0","0.00%","35",""
"WCAG 2.2 AA Violation","0","0.00%","35",""
"Best Practice Violation","0","0.00%","35",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","35",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","35",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","35",""
"Scrollable Region Requires Keyboard Access","0","0.00%","35",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","35",""
"Required ARIA Attributes Must Be Provided","0","0.00%","35",""
"Role=text Should Have No Focusable Descendants","0","0.00%","35",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","35",""
"ARIA Attributes Require Valid Values","0","0.00%","35",""
"ARIA Attributes Require Valid Names","0","0.00%","35",""
"ARIA Commands Require Accessible Name","0","0.00%","35",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","35",""
"ARIA Input Fields Require Accessible Name","0","0.00%","35",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","35",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","35",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","35",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","35",""
"ARIA Roles Require Valid Values","0","0.00%","35",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","35",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","35",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","35",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","35",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","35",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","35",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","35",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","35",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","35",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","35",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","35",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","35",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","35",""
"Page Requires One Main Landmark","0","0.00%","35",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","35",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","35",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","35",""
"Page Requires At Most One Main Landmark","0","0.00%","35",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","35",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","35",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","35",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","35",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","35",""
"Form <input> Elements Require Labels","0","0.00%","35",""
"Form Elements Should Have Visible Label","0","0.00%","35",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","35",""
"Frames Require Title Attribute","0","0.00%","35",""
"Frames Require Unique Title Attribute","0","0.00%","35",""
"Frames Should Be Tested With axe-core","0","0.00%","35",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","35",""
"Page Must Contain <title>","0","0.00%","35",""
"Page Must Contain <h1>","0","0.00%","35",""
"Heading Levels Should Only Increase By One","0","0.00%","35",""
"Headings Should Not Be Empty","0","0.00%","35",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","35",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","35",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","35",""
"HTML Element Requires Lang Attribute","0","0.00%","35",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","35",""
"Lang Attribute Requires Valid Value","0","0.00%","35",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","35",""
"Timed Meta Refresh Must Not Exist","0","0.00%","35",""
"Image Button Requires Alternate Text","0","0.00%","35",""
"Images Require Alternate Text","0","0.00%","35",""
"<object> Elements Require Alternate Text","0","0.00%","35",""
"Active <area> Elements Require Alternate Text","0","0.00%","35",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","35",""
"Elements Marked role=img Require Alternate Text","0","0.00%","35",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","35",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","35",""
"<video> Elements Require <track> For Captions","0","0.00%","35",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","35",""
"Buttons Require Discernible Text","0","0.00%","35",""
"Input Buttons Require Discernible Text","0","0.00%","35",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","35",""
"Links Must Be Distinguishable","0","0.00%","35",""
"Links Require Discernible Text","0","0.00%","35",""
"Links With Same Accessible Name","0","0.00%","35",""
"Select Element Requires Accessible Name","0","0.00%","35",""
"Summary Elements Require Discernible Text","0","0.00%","35",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","35",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","35",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","35",""
"Text Requires Higher Color Contrast to Background","0","0.00%","35",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","35",""
